Artist,avg_gap_score,total_streams,total_views,song_count,platform_identity
$NOT,2.508847399186552,1127638002.0,110784903.0,10,Spotify Artist
$uicideboy$,3.2214171153022173,2126748130.0,334135108.0,10,Spotify Artist
(G)I-DLE,0.5948683225998697,1304212458.0,1754953941.0,10,Spotify Artist
*NSYNC,1.454487841572399,1427833756.0,1027832862.0,10,Spotify Artist
070 Shake,1.699264731776451,464748617.0,96099359.0,10,Spotify Artist
112,1.243667179478881,498963855.0,219134459.0,10,Spotify Artist
11:11 Music Group,4.183958367770673,178648419.0,12672824.0,10,Spotify Artist
1nonly,2.174119360068422,638891852.0,87929514.0,10,Spotify Artist
2 Chainz,1.6807097029265303,1995600087.0,898368236.0,10,Spotify Artist
21 Savage,3.203329605698206,2186417001.0,171822850.0,10,Spotify Artist
24kGoldn,1.9348894800058218,3196171623.0,691518866.0,10,Spotify Artist
2Pac,3.6064280440159306,3256831814.0,1092522407.0,10,Spotify Artist
3 Doors Down,0.5427676922396513,1687697599.0,1527163688.0,9,Spotify Artist
42 Dugg,1.1986287593233653,864602230.0,710220208.0,10,Spotify Artist
5 Seconds of Summer,1.6201250982511084,4025269702.0,896683179.0,10,Spotify Artist
50 Cent,1.6742186188806287,4059566414.0,4560240727.0,10,Spotify Artist
6LACK,2.0575004136239556,2379502673.0,834512766.0,10,Spotify Artist
6ix9ine,1.0587171055499442,3485219252.0,4990118182.0,10,Spotify Artist
A Boogie Wit da Hoodie,2.2987291787961484,3328674589.0,436323847.0,10,Spotify Artist
A Day To Remember,1.53788241493003,1024190620.0,250881937.0,10,Spotify Artist
A Tribe Called Quest,2.560532232075106,740669596.0,143591509.0,10,Spotify Artist
A$AP Ferg,1.9642228731215228,1907118469.0,495040750.0,9,Spotify Artist
A$AP Rocky,1.8561533806805102,3306084916.0,1151745928.0,10,Spotify Artist
A.R. Rahman,-0.22912486615142064,606913932.0,1236138927.0,10,Cross-platform Artist
ABBA,1.1622229439240754,3347361606.0,1969452551.0,10,Spotify Artist
AC/DC,1.9473568842099016,5941405897.0,3377765872.0,10,Spotify Artist
AJR,1.7807243837670133,1645948980.0,336763173.0,9,Spotify Artist
AP Dhillon,1.3908142829644985,1110345507.0,1166886877.0,10,Spotify Artist
ARASHI,2.93605715501698,47844134.0,3450513.0,4,Spotify Artist
ATB,1.1581788894464267,768264497.0,173348390.0,8,Spotify Artist
ATEEZ,0.43597792675708513,533630491.0,597259504.0,10,Cross-platform Artist
AURORA,3.0930420548018325,1111602554.0,594581742.0,7,Spotify Artist
AYLIVA,1.2346963237334696,220107804.0,72940759.0,10,Spotify Artist
Aaliyah,2.161294521024468,449892730.0,60219258.0,10,Spotify Artist
Aaron Smith,0.6038109588526437,903382522.0,429622878.0,8,Spotify Artist
Abel Pintos,0.43074450490741667,482661986.0,449961896.0,10,Cross-platform Artist
Abhijeet,-0.9658491743517608,111216067.0,536050601.0,10,YouTube Artist
Academy of St. Martin in the Fields,5.066276692874558,68504178.0,17650254.0,10,Spotify Artist
